Lane,Speed,StreetType,Distance,Received
0,13.88,residential,178.9535695,FALSE
0,13.88,residential,184.293486,TRUE
0,13.88,residential,187.7064558,FALSE
0,13.88,residential,190.0689291,TRUE
0,13.88,residential,192.7569944,FALSE
0,13.88,residential,194.6810545,FALSE
0,13.88,residential,195.5967389,FALSE
0,13.88,residential,194.6209186,FALSE
0,13.88,residential,192.8502701,FALSE
0,13.88,residential,191.2587453,FALSE
0,13.88,residential,190.0589671,TRUE
0,13.88,residential,188.6997696,FALSE
0,13.88,residential,187.2961372,FALSE
0,13.88,residential,186.2037986,FALSE
0,13.88,residential,182.6498423,TRUE
0,13.88,residential,180.8813494,FALSE
0,13.88,residential,180.6380836,FALSE
0,13.88,residential,179.297434,FALSE
2,13.88,primary,355.9099636,FALSE
2,13.88,primary,350.7711145,FALSE
2,13.88,primary,342.8179005,FALSE
2,13.88,primary,334.4975555,FALSE
2,13.88,primary,326.4984087,TRUE
2,13.88,primary,317.9380571,FALSE
2,13.88,primary,309.2055471,FALSE
2,13.88,primary,301.0888158,FALSE
2,13.88,primary,296.6221038,FALSE
2,13.88,primary,291.7266971,FALSE
2,13.88,primary,285.84928,TRUE
2,13.88,primary,278.866783,FALSE
2,13.88,primary,271.3313968,FALSE
2,13.88,primary,263.9619809,FALSE
2,13.88,primary,254.3966309,FALSE
2,13.88,primary,246.0298116,FALSE
2,13.88,primary,234.4816984,FALSE
2,13.88,primary,224.7138083,FALSE
2,13.88,primary,219.1017912,TRUE
2,13.88,primary,211.5566592,FALSE
2,13.88,primary,204.1135845,TRUE
2,13.88,primary,196.6095692,FALSE
2,13.88,primary,186.5853147,FALSE
2,13.88,primary,175.6856332,TRUE
2,13.88,primary,164.4516825,TRUE
2,13.88,primary,154.2776466,FALSE
2,13.88,primary,143.8379949,TRUE
2,13.88,primary,132.5223542,FALSE
2,13.88,primary,122.1596967,TRUE
2,13.88,primary,108.5674575,FALSE
2,13.88,primary,104.321489,TRUE
2,13.88,primary,98.68253505,TRUE
2,13.88,primary,93.52923952,FALSE
2,13.88,primary,86.24917783,TRUE
2,13.88,primary,81.42534955,TRUE
2,13.88,primary,77.39435951,TRUE
4,13.88,primary,77.39435951,TRUE
4,13.88,primary,71.91787752,TRUE
4,13.88,primary,67.64871366,FALSE
4,13.88,primary,67.18869916,TRUE
4,13.88,primary,62.20595169,TRUE
4,13.88,primary,58.147705,TRUE
4,13.88,primary,53.64721574,TRUE
4,13.88,primary,48.68269372,TRUE
4,13.88,primary,42.60448241,TRUE
4,13.88,primary,38.34390666,TRUE
2,13.88,primary,35.5288118,TRUE
2,13.88,primary,33.05016409,TRUE
2,13.88,primary,31.36949286,TRUE
2,13.88,primary,31.00557461,TRUE
3,13.88,primary,32.18737748,TRUE
2,13.88,primary,32.18737748,TRUE
2,13.88,primary,34.43359626,TRUE
2,13.88,primary,37.7518436,TRUE
2,13.88,primary,41.0491602,TRUE
