Message ID; Time; Generation Time; Station ID; Position Latitude; Position Longitude; Speed; Heading;
-----------------------------------------------------------------------------------------------------
1; 1629622626.828354000; 556707431815743; 1210254534; 499401264; 84526228; 0.0; unknown;
2; 1629622627.828307000; 556707432815123; 1210254534; 499401264; 84526227; 0.0; unknown;
3; 1629622628.827684000; 556707433815058; 1210254534; 499401264; 84526227; 0.0; unknown;
4; 1629622629.827737000; 556707434815069; 1210254534; 499401264; 84526227; 0.0; unknown;
5; 1629622630.826533000; 556707435815024; 1210254534; 499401264; 84526226; 0.0; unknown;
6; 1629622631.827242000; 556707436815023; 1210254534; 499401264; 84526226; 0.0; unknown;
7; 1629622632.827305000; 556707437815019; 1210254534; 499401264; 84526226; 0.0; unknown;
8; 1629622633.827839000; 556707438815017; 1210254534; 499401264; 84526226; 0.0; unknown;
9; 1629622634.828083000; 556707439815130; 1210254534; 499401264; 84526226; 0.0; unknown;
10; 1629622635.827784000; 556707440815076; 1210254534; 499401264; 84526226; 0.0; unknown;
11; 1629622636.827684000; 556707441815075; 1210254534; 499401264; 84526225; 0.0; unknown;
12; 1629622637.828295000; 556707442815081; 1210254534; 499401264; 84526225; 0.0; unknown;
13; 1629622638.828355000; 556707443815086; 1210254534; 499401264; 84526225; 0.0; unknown;
14; 1629622639.827845000; 556707444815070; 1210254534; 499401264; 84526225; 0.0; unknown;
15; 1629622640.827636000; 556707445815068; 1210254534; 499401264; 84526225; 0.0; unknown;
16; 1629622641.828311000; 556707446815092; 1210254534; 499401265; 84526225; 0.0; unknown;
17; 1629622642.828226000; 556707447815081; 1210254534; 499401265; 84526225; 0.0; unknown;
18; 1629622643.828337000; 556707448815076; 1210254534; 499401264; 84526224; 0.0; unknown;
19; 1629622644.827508000; 556707449815077; 1210254534; 499401265; 84526224; 0.0; unknown;
20; 1629622645.827677000; 556707450815073; 1210254534; 499401265; 84526224; 0.0; unknown;
21; 1629622646.827669000; 556707451815080; 1210254534; 499401265; 84526223; 0.0; unknown;
22; 1629622647.827861000; 556707452815078; 1210254534; 499401265; 84526223; 0.0; unknown;
23; 1629622648.827542000; 556707453815076; 1210254534; 499401265; 84526223; 0.0; unknown;
24; 1629622649.827798000; 556707454815091; 1210254534; 499401265; 84526222; 0.0; unknown;
25; 1629622650.827586000; 556707455815087; 1210254534; 499401266; 84526222; 0.0; unknown;
26; 1629622651.828584000; 556707456815088; 1210254534; 499401266; 84526222; 0.0; unknown;
27; 1629622652.827858000; 556707457815088; 1210254534; 499401266; 84526222; 0.0; unknown;
28; 1629622653.828342000; 556707458815085; 1210254534; 499401266; 84526221; 0.0; unknown;
29; 1629622654.828313000; 556707459815081; 1210254534; 499401266; 84526221; 0.0; unknown;
30; 1629622655.828340000; 556707460815084; 1210254534; 499401267; 84526221; 0.0; unknown;
31; 1629622656.828301000; 556707461815074; 1210254534; 499401267; 84526220; 0.0; unknown;
32; 1629622657.827711000; 556707462815027; 1210254534; 499401267; 84526220; 0.0; unknown;
33; 1629622658.827752000; 556707463815070; 1210254534; 499401268; 84526220; 0.0; unknown;
34; 1629622659.827671000; 556707464815020; 1210254534; 499401268; 84526220; 0.0; unknown;
35; 1629622660.828286000; 556707465815028; 1210254534; 499401269; 84526219; 0.0; unknown;
36; 1629622661.827660000; 556707466815081; 1210254534; 499401269; 84526219; 0.0; unknown;
37; 1629622662.828461000; 556707467815116; 1210254534; 499401270; 84526218; 0.0; unknown;
38; 1629622663.828723000; 556707468815076; 1210254534; 499401270; 84526218; 0.0; unknown;
39; 1629622664.828316000; 556707469815063; 1210254534; 499401269; 84526217; 0.0; unknown;
40; 1629622665.828224000; 556707470815108; 1210254534; 499401269; 84526217; 0.0; unknown;
41; 1629622666.828118000; 556707471815069; 1210254534; 499401269; 84526217; 0.0; unknown;
42; 1629622667.827977000; 556707472815071; 1210254534; 499401269; 84526216; 0.0; unknown;
43; 1629622668.828194000; 556707473815072; 1210254534; 499401269; 84526216; 0.0; unknown;
44; 1629622669.828161000; 556707474815067; 1210254534; 499401269; 84526216; 0.0; unknown;
45; 1629622670.828330000; 556707475815071; 1210254534; 499401268; 84526215; 0.0; unknown;
46; 1629622671.828326000; 556707476815082; 1210254534; 499401268; 84526215; 0.0; unknown;
47; 1629622672.827653000; 556707477815073; 1210254534; 499401268; 84526214; 0.0; unknown;
48; 1629622673.827780000; 556707478815072; 1210254534; 499401268; 84526214; 0.0; unknown;
49; 1629622674.828075000; 556707479815066; 1210254534; 499401268; 84526214; 0.0; unknown;
50; 1629622675.828639000; 556707480815118; 1210254534; 499401268; 84526214; 0.0; unknown;
51; 1629622676.828199000; 556707481815073; 1210254534; 499401268; 84526214; 0.0; unknown;
52; 1629622677.827938000; 556707482815073; 1210254534; 499401268; 84526213; 0.0; unknown;
53; 1629622678.827525000; 556707483815071; 1210254534; 499401268; 84526213; 0.0; unknown;
54; 1629622679.827895000; 556707484815073; 1210254534; 499401268; 84526213; 0.0; unknown;
55; 1629622680.828001000; 556707485815124; 1210254534; 499401269; 84526213; 0.0; unknown;
56; 1629622681.828053000; 556707486815084; 1210254534; 499401269; 84526213; 0.0; unknown;
57; 1629622682.827620000; 556707487815071; 1210254534; 499401269; 84526213; 0.0; unknown;
58; 1629622683.827701000; 556707488815023; 1210254534; 499401269; 84526213; 0.0; unknown;
59; 1629622684.827597000; 556707489815061; 1210254534; 499401270; 84526213; 0.0; unknown;
60; 1629622685.828615000; 556707490815120; 1210254534; 499401270; 84526213; 0.0; unknown;
61; 1629622686.828236000; 556707491815075; 1210254534; 499401270; 84526213; 0.0; unknown;
62; 1629622687.827965000; 556707492815075; 1210254534; 499401270; 84526213; 0.0; unknown;
