Message ID; Time; Generation Time; Station ID; Position Latitude; Position Longitude; Speed; Heading;
61; 1629623182.449873000; 556707987416042; 1210254390; 499403269; 84521241; 0.0; unknown;
62; 1629623183.450955000; 556707988416040; 1210254390; 499403268; 84521242; 0.0; unknown;
63; 1629623184.452035000; 556707989416025; 1210254390; 499403268; 84521242; 0.0; unknown;
64; 1629623185.445285000; 556707990416017; 1210254390; 499403268; 84521243; 0.0; unknown;
65; 1629623186.447311000; 556707991416022; 1210254390; 499403267; 84521244; 0.0; unknown;
66; 1629623187.447417000; 556707992416024; 1210254390; 499403267; 84521245; 0.0; unknown;
67; 1629623188.449451000; 556707993416036; 1210254390; 499403266; 84521245; 0.0; unknown;
68; 1629623189.458356000; 556707994416028; 1210254390; 499403266; 84521246; 0.0; unknown;
69; 1629623190.145942000; 556707995115973; 1210254390; 499403210; 84521354; 3.636; 130.6;
70; 1629623190.245568000; 556707995215886; 1210254390; 499403200; 84521364; 3.636; 138.8;
71; 1629623190.346133000; 556707995315880; 1210254390; 499403190; 84521386; 3.8160000000000003; 130.6;
72; 1629623190.546350000; 556707995515904; 1210254390; 499403174; 84521420; 5.076; 126.5;
73; 1629623191.145041000; 556707996115974; 1210254390; 499403097; 84521565; 7.056; 126.9;
74; 1629623191.545453000; 556707996515909; 1210254390; 499403044; 84521692; 9.648000000000001; 122.5;
75; 1629623191.845318000; 556707996815976; 1210254390; 499403007; 84521799; 10.476; 118.0;
76; 1629623192.454724000; 556707997416065; 1210254390; 499402926; 84522073; 12.636; 116.4;
77; 1629623193.448996000; 556707998416071; 1210254390; 499402761; 84522544; 13.895999999999999; 116.3;
78; 1629623193.849437000; 556707998815904; 1210254390; 499402689; 84522730; 14.076; 120.6;
79; 1629623194.547725000; 556707999516009; 1210254390; 499402541; 84523048; 14.22; 126.9;
80; 1629623195.451141000; 556708000416082; 1210254390; 499402335; 84523448; 15.048; 133.5;
81; 1629623196.461996000; 556708001416093; 1210254390; 499402086; 84523855; 14.328; 132.8;
82; 1629623197.463113000; 556708002416092; 1210254390; 499401868; 84524276; 13.788; 126.9;
83; 1629623198.466114000; 556708003416091; 1210254390; 499401658; 84524667; 12.816; 128.5;
84; 1629623199.206426000; 556708004115996; 1210254390; 499401537; 84524896; 10.728; 127.0;
85; 1629623199.521029000; 556708004415989; 1210254390; 499401481; 84524993; 10.296; 131.3;
